Product Name,Unit,Unit Value
Pink Berry Wine,1,PS
Red Violet (festive Edition) Wine,1,PS
Happy Heart,1,PS
Ak  Packet Curd,1,PS
Ak Packet Buttermilk Plain,1,PS
Ak Box  Curd,1,PS
Ak  Butter ( Salted),1,PS
Pista Chocolate,100,G
Eucalyptus Oil,1,PS
Strawberry Chocolate,100,G
Pine Apple Chocolate,100,G
Dark Chocolate,100,G
Ak Cheddar Cheese Slices 100 G,1,PS
Ak Box Curd,1,PS
Ak Cow Milk Past,1,PS
Ak Probiotic Packet  Curd,1,PS
Natural Malish Oil (kovarshini),1,PS
101 C6,1,PS
Kumkumadi Oil,1,PS
100 G6,1,PS
Neem Essential Oil,1,PS
48 Coffee Set,1,PS
Millet Health Mix (siruthaaniya Satthu Maavu),1,PS
88 Dh 3 Litre,1,PS
89 Dh 4 Litre,1,PS
Ak Pizza Cheese,1,PS
Ak Yogurt Mango 90 G,1,PS
Ak Yogurt Plain 90 G,1,PS
Ak A2 Cow Milk Past,1,PS
Ak Tetra Buttermilk Plain,1,PS
Ak A2  Packet Curd,1,PS
Ak  Packet Buttermilk Spiced,1,PS
Ak Box Curd,1,PS
Ak Tetra  Buttermilk Spiced,1,PS
Ak Malai Paneer,1,PS
Butter Unsalted  (vennai),1,PS
90 H 3pcs,1,PS
91 M 3pcs,1,PS
95 Cooker 3 Litre,1,PS
97 P3 Without (st),1,PS
98 P3 With Stand,1,PS
113 D.h.2.5,1,PS
114 Water Dispenser,1,PS
01 Lw Brown 1/4,1,PS
46 Round Jar (1kg),1,PS
85 Jali Tawa,1,PS
92 Tray Jug Set,1,PS
93 Small Fry Pan,1,PS
94 Large Fry Pan,1,PS
102 8d02 Mug,1,PS
111 Haudi 5 Lit,1,PS
112 D.h.3,1,PS
96 Matka 11 Lit,1,PS
40 Mushal Square(s),1,PS
65 Cc No. 1,1,PS
66 Cc No. 2,1,PS
72 Mughal Square Jar(1*4),1,PS
78 Fling,1,PS
41 Mushal Square(m),1,PS
43 Mushal Square 2kg,1,PS
Millet Health Mix (siruthaaniya Satthu Maavu) ,1,PS
Nendran Banana Malt,1,PS
Beetroot Malt,1,PS
Ragi Malt,1,PS
Carrot Malt,1,PS
Health Mix (satthu Maavu),1,PS
45 Round Jar (m),1,PS
79 Occassion,1,PS
82 Chai Bar,1,PS
110 Green Tea,1,PS
17 Bora(big),1,PS
20 Matka (b),1,PS
31 Handi + Mathini,1,PS
42 Mushal Square 1kg,1,PS
44 Round Jar (s),1,PS
47 Round Jar (2 Kg),1,PS
49 Oil Can (s),1,PS
50 Oil Can (m),1,PS
51 Oil Can (b),1,PS
56 Chinese Jar(s),1,PS
57 Chinese Jar(m),1,PS
58 Chinese Jar(b),1,PS
67 Cc No. 3,1,PS
68 Cc No. 4,1,PS
76 Water Jug(no. 16),1,PS
77 Water Jug(no. 09),1,PS
80 Royal Paradise,1,PS
81 Drink Hub,1,PS
83 Invitation,1,PS
84 Plain Tawa,1,PS
86 10 Inch Plate,1,PS
87 8 Inch Plate,1,PS
105 Georgeous,1,PS
106 Everyday,1,PS
107 Campty,1,PS
108 Season Treat,1,PS
109 Sweet Sassy,1,PS
52 Pepper Salt	,1,PS
69 Cc No. 5,1,PS
71 Mughal Square Jar(1*8),1,PS
99 Jug,1,PS
07 Lw Brown,1,PS
16 Bora(medium),1,PS
22 Mat Bar(2 Kg),1,PS
24 Colour Jar(2kg),1,PS
28 Jilabi (b),1,PS
53 Spoon Rest,1,PS
54 Small Basket,1,PS
19 Matka (m),1,PS
23 Broad Mouth Jar,1,PS
33 Square No. 12,1,PS
37 Square No. 13,1,PS
73 2 Pcs Pickle,1,PS
103 Handi Terrocota(b),1,PS
39 Square No.1,1,PS
55 Medium Basket,1,PS
74 2pcs W/mat,1,PS
09 (1/2 No) Ludo(s),1,PS
13 Smile Jar(m),1,PS
14 Smile Jar(big),1,PS
32 Jeera Jar(no. 02),1,PS
34 Square No. 17,1,PS
35 Square No. 25,1,PS
36 Square No. 26,1,PS
38 Square No. 14,1,PS
59 1 Kg Liva Jar,1,PS
70 Mughal Square Jar(1*12),1,PS
75 3pcs W/mat,1,PS
06 Lw Brown,1,PS
21 Mat Bar(1.5kg),1,PS
27 Jilabi (m),1,PS
05 Lw Brown,1,PS
03 Lw Brown,1,PS
18 Matka (s),1,PS
61 Hand Wash,1,PS
15 Bora(small),1,PS
60 Sun Shine Baby Set,1,PS
104 Handi (s)(t),1,PS
04 Apple Brown,1,PS
12 Mushal Handi,1,PS
02 Lw Brown,1,PS
26 Jilabi (s),1,PS
08 (1/4no) Ludo(s),1,PS
25 Jilabi Handi,1,PS
10 Handi,1,PS
11 Handi,1,PS
64 Chutney Kattori,1,PS
30 Nissan Jar,1,PS
Kodo Millet (varagu) (unpolished),1,PS
Barnyard Millet (kuthura Vali)(unpolished),1,PS
Corn (makka Cholam Kurunai ),1,PS
Little Millet (saamai) (unpolished),1,PS
Kodo Millet (varagu) (polished),1,PS
Wheat (kothumai),1,PS
Barnyard Millet (kuthuraivali) (polished),1,PS
Little Millet (saamai) (polished),1,PS
Pearl Millet (kambu) (polished),1,PS
Karupu Kavuni Kuranai,1,PS
Foxtail (thinai) (polished),1,PS
Barley Rice (vaal Kothumai),1,PS
Wild Pearl Millet (kaatu Kambu),1,PS
Proso Kodo (pani Varagu) (polished),1,PS
Corn (makka Chollam),1,PS
Little Millet (kula Saamai),1,PS
Ragi (kelvaragu),1,PS
Color Capsicum (kudai Milagai),250,G
Brocolli,250,G
Potato (urulai) (agra),250,G
Muskmelon (mulam Palam),1,PS
Butter Fruit  (avacodo) ,500,G
Nendran Banana,1,KG
Cucumber Country (naatu Vellari),500,G
Watermelon (dharboosini),1,KG
White Pumpkin (vellai Poosini),500,G
Paneer Bitter Guard (siru Paava Kai),250,G
Little Millet (saamai) Murukku 200 Gm,1,PS
Foxtail (thinai) Ribbon Pakoda,1,PS
Little Millet (saamai) Garlic  Murukku,1,PS
Sesame Balls (ellu Urundai) ,1,PS
Mapillai Samba Murukku 200 Gm,1,PS
Mapillai Samba Aval Mixer (250m),1,PS
Kodo  Millet (varagu) Murukku 200 Gm,1,PS
Coconut (thengai) Milk Murukku,1,PS
Barnyard (kuthirai Vaali)  Millet Cookies,1,PS
Foxtail Millet (thinai)  Murukku 200 Gm,1,PS
Black Raisins Seedless (karuppu Ular Thiratchai),1,PS
California Walnuts,1,PS
Country Cashew Nut  (naatu Mundiri) ,1,PS
Divine Roasted Almond,1,PS
Dry Apricot,1,PS
Dry Cherry,1,PS
Dry Kiwi,1,PS
Dry Plums,1,PS
Dry Strawberry,1,PS
Mixed Chocolates,1,PS
Muskmelon Seeds,1,PS
Pitted Pruned(dried Plums),1,PS
Roasted & Salted Californian Almonds,1,PS
Rock Candy,1,PS
Rose Gulkand,1,PS
Sesame Seeds,1,PS
Walnut,1,PS
Yellow Raisin (ular Thiratchai) ,1,PS
Ak Cow Ghee  (pasu Nei) ,1,PS
Ak Cow Ghee (pasu Nei),1,PS
Buffalo Ghee  (erumai Nei),1,PS
Coconut Oil (thengai Ennai),1,PS
Cow Butter  (pasu Vennai),1,PS
Cow Ghee  (pasu Nei),1,PS
Kangeyam Country Cow Ghee (naatu Maadu Nei),1,PS
Sesame Oil (palm Jaggery) (nallennai),1,PS
Sesame Oil (palm Jaggery) (nallennai),1,PS
 Sugarcane Jaggery (katti Vellam),1,PS
Achu Vellam,1,PS
Country Sugar,1,PS
Herbal Country Sugar (mooligai Nattu Sarkarai) (250gm),1,PS
Kovai Illai Karuvepillai Thokku,1,PS
Bridegroom (mappilai Samba) Dosa Flour,1,PS
Emperor's (karuppu Kavuni) Rice Flour ,1,PS
Barnyard Flour (kuthirai Vaali Maavu),1,PS
Red Sorgum Flour (sivapu Cholam Maavu) ,1,PS
Multimillet (siruthaniya) Chapathi Flour,1,PS
Sun Dried Balls (thalippu Vadagam),1,PS
Jamun Honey,1,PS
Tulsi Honey,1,PS
Jamun (naval) Honey - (350 Gm),1,PS
Eucalyptus Honey ,1,PS
